pattern,label,original_price_eur,specs,score,better_than_baseline,kind,brand,source_url,frame_material
\bSynapse\b,Cannondale Synapse (overig),,"Zonder ""Carbon"" in de titel: aluminium (Synapse Alloy) of carbon — controleren. Catalogus (reference_bike_catalog.csv): 118 uitvoeringen, modeljaren 2010-2023; framemateriaal daar: carbon 88, aluminium 21, onbekend 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-synapse-alloy-tiagra-feminine/9252,
"Cannondale.{0,20}\bSlate\b",Cannondale Slate,,"Gravel/road met Lefty-vork. Catalogus (reference_bike_catalog.csv): 4 uitvoeringen, modeljaren 2017-2017; framemateriaal daar: aluminium 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-slate-105/27509,
\bIzalco\b,Focus Izalco,,"Catalogus (reference_bike_catalog.csv): 53 uitvoeringen, modeljaren 2012-2018; framemateriaal daar: carbon 45, onbekend 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Focus,https://www.bikezona.com/bicicletas/focus-izalco-donna-1-0/11493,
"Focus.{0,20}\bCayo\b",Focus Cayo,,"Catalogus (reference_bike_catalog.csv): 47 uitvoeringen, modeljaren 2012-2017; framemateriaal daar: carbon 38, aluminium 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Focus,https://www.bikezona.com/bicicletas/focus-cayo-1-0/11499,
"Focus.{0,20}\bCulebro\b",Focus Culebro,,"Catalogus (reference_bike_catalog.csv): 10 uitvoeringen, modeljaren 2012-2015; framemateriaal daar: aluminium 9, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Focus,https://www.bikezona.com/bicicletas/focus-culebro-1-0/11502,
"Focus.{0,20}\bVariado\b",Focus Variado,,"Catalogus (reference_bike_catalog.csv): 3 uitvoeringen, modeljaren 2012-2012; framemateriaal daar: aluminium 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Focus,https://www.bikezona.com/bicicletas/focus-variado-1-0/11503,
"Focus.{0,20}\bMares\b",Focus Mares,,"Cyclocross. Catalogus (reference_bike_catalog.csv): 8 uitvoeringen, modeljaren 2012-2012; framemateriaal daar: aluminium 5, carbon 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Focus,https://www.bikezona.com/bicicletas/focus-mares-ax-1-0/11512,
"Ridley.{0,20}\bFenix\b",Ridley Fenix,,"Endurance. Catalogus (reference_bike_catalog.csv): 5 uitvoeringen, modeljaren 2014-2014; framemateriaal daar: aluminium 3, carbon 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Ridley,https://www.bikezona.com/bicicletas/ridley-fenix-a10/19242,
"Ridley.{0,20}\bNoah\b",Ridley Noah,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 5 uitvoeringen, modeljaren 2012-2014; framemateriaal daar: carbon 3, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Ridley,https://www.bikezona.com/bicicletas/ridley-noah-1101b/13532,
"Ridley.{0,20}\bHelium\b",Ridley Helium,,"Catalogus (reference_bike_catalog.csv): 2 uitvoeringen, modeljaren 2014-2014; framemateriaal daar: carbon 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Ridley,https://www.bikezona.com/bicicletas/ridley-helium/19247,
"Ridley.{0,20}\bOrion\b",Ridley Orion,,"Catalogus (reference_bike_catalog.csv): 2 uitvoeringen, modeljaren 2014-2014; framemateriaal daar: carbon 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Ridley,https://www.bikezona.com/bicicletas/ridley-orion-c10/19282,
"Canyon.{0,20}\bUltimate\b|\bUltimate\s*(CF|AL)\b",Canyon Ultimate,,"CF is carbon, AL aluminium (Canyons eigen aanduiding) — staat meestal in de titel. Catalogus (reference_bike_catalog.csv): 107 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: onbekend 103, carbon 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Canyon,https://www.bikezona.com/bicicletas/canyon-ultimate-al-8-0/11373,
\bAeroad\b,Canyon Aeroad,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 44 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: onbekend 31, carbon 13. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Canyon,https://www.bikezona.com/bicicletas/canyon-aeroad-cf-8-0/11361,
Road\s?lite,Canyon Roadlite,,"Fitness/racefiets met recht stuur. Catalogus (reference_bike_catalog.csv): 11 uitvoeringen, modeljaren 2012-2016; framemateriaal daar: onbekend 11. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Canyon,https://www.bikezona.com/bicicletas/canyon-roadlite-6-0/11376,
\bSpeedmax\b,Canyon Speedmax,,"Tijdrit/triathlon. Catalogus (reference_bike_catalog.csv): 7 uitvoeringen, modeljaren 2013-2015; framemateriaal daar: onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Canyon,https://www.bikezona.com/bicicletas/canyon-speedmax-cf-9-0-ltd/14536,
\bInflite\b,Canyon Inflite,,"Cyclocross. Catalogus (reference_bike_catalog.csv): 6 uitvoeringen, modeljaren 2015-2016; framemateriaal daar: onbekend 6. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Canyon,https://www.bikezona.com/bicicletas/canyon-inflite-al-8-0/20386,
\bScul[p]?tura\b,Merida Scultura,,"Verkopers schrijven ook ""Sculptura"". Catalogus (reference_bike_catalog.csv): 118 uitvoeringen, modeljaren 2011-2022; framemateriaal daar: onbekend 86, carbon 23, aluminium 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Merida,https://www.bikezona.com/bicicletas/merida-scultura-evo-904-30/10315,
\bReacto\b,Merida Reacto,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 82 uitvoeringen, modeljaren 2011-2022; framemateriaal daar: onbekend 69, carbon 13. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Merida,https://www.bikezona.com/bicicletas/merida-reacto-907-com/10312,
"Merida.{0,20}\bRide\b",Merida Ride,,"Endurance. Catalogus (reference_bike_catalog.csv): 24 uitvoeringen, modeljaren 2011-2017; framemateriaal daar: onbekend 20, carbon 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Merida,https://www.bikezona.com/bicicletas/merida-ride-juliet-91/10305,
"Stevens.{0,20}\bAspin\b",Stevens Aspin,,"Catalogus (reference_bike_catalog.csv): 16 uitvoeringen, modeljaren 2011-2018; framemateriaal daar: aluminium 16. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-aspin-ct/10240,
"Stevens.{0,20}\bStelvio\b",Stevens Stelvio,,"Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaren 2011-2018; framemateriaal daar: aluminium 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-stelvio/10241,
"Stevens.{0,20}\bSan\s?Remo\b",Stevens San Remo,,"Catalogus (reference_bike_catalog.csv): 7 uitvoeringen, modeljaren 2011-2018; framemateriaal daar: aluminium 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-san-remo/10242,
"Stevens.{0,20}\bArcalis\b",Stevens Arcalis,,"Catalogus (reference_bike_catalog.csv): 14 uitvoeringen, modeljaren 2015-2018; framemateriaal daar: carbon 14. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-arcalis/21889,
"Stevens.{0,20}\bXenon\b",Stevens Xenon,,"Catalogus (reference_bike_catalog.csv): 17 uitvoeringen, modeljaren 2012-2018; framemateriaal daar: carbon 17. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-xenon-ct/10822,
"Pinarello.{0,20}\bDogma\b",Pinarello Dogma,,"De catalogus dekt 2012-2019; oudere Dogma-generaties bestaan ook — materiaal niet uit deze rij afleiden. Catalogus (reference_bike_catalog.csv): 99 uitvoeringen, modeljaren 2012-2019; framemateriaal daar: onbekend 67, carbon 32. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Pinarello,https://www.bikezona.com/bicicletas/pinarello-dogmak-carbon/13469,
"Pinarello.{0,20}\bParis\b",Pinarello Paris,,"Catalogus (reference_bike_catalog.csv): 6 uitvoeringen, modeljaren 2014-2014; framemateriaal daar: carbon 6. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Pinarello,https://www.bikezona.com/bicicletas/pinarello-paris-think2/18861,
"Pinarello.{0,20}\bGan\b",Pinarello Gan,,"Catalogus (reference_bike_catalog.csv): 72 uitvoeringen, modeljaren 2016-2019; framemateriaal daar: onbekend 65, carbon 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Pinarello,https://www.bikezona.com/bicicletas/pinarello-gan-campagnolo-chorus/26344,
"Pinarello.{0,20}\bPrince\b",Pinarello Prince,,"Catalogus (reference_bike_catalog.csv): 15 uitvoeringen, modeljaren 2015-2019; framemateriaal daar: carbon 8, onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Pinarello,https://www.bikezona.com/bicicletas/pinarello-prince-athena-11v/22050,
"Pinarello.{0,20}\bRazha\b",Pinarello Razha,,"Catalogus (reference_bike_catalog.csv): 21 uitvoeringen, modeljaren 2015-2019; framemateriaal daar: onbekend 11, carbon 10. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Pinarello,https://www.bikezona.com/bicicletas/pinarello-razha-105-11v/22082,
"Will?ier.{0,20}\bGTR\b|\bGTR\s*(Team|SL)\b",Wilier GTR,,"Endurance. Catalogus (reference_bike_catalog.csv): 8 uitvoeringen, modeljaren 2014-2016; framemateriaal daar: carbon 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Wilier,https://www.bikezona.com/bicicletas/wilier-gtr/19019,
"Wilier.{0,20}\bMontegrappa\b",Wilier Montegrappa,,"Catalogus (reference_bike_catalog.csv): 4 uitvoeringen, modeljaren 2015-2016; framemateriaal daar: aluminium 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Wilier,https://www.bikezona.com/bicicletas/wilier-montegrappa-disc/26228,
"Wilier.{0,20}\bCento\s?(1|10)",Wilier Cento1 / Cento10,,"Catalogus (reference_bike_catalog.csv): 8 uitvoeringen, modeljaren 2012-2016; framemateriaal daar: carbon 5, onbekend 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Wilier,https://www.bikezona.com/bicicletas/wilier-cento-1/12613,
"Lapierre.{0,20}\bSensium\b",Lapierre Sensium,,"Endurance. Catalogus (reference_bike_catalog.csv): 68 uitvoeringen, modeljaren 2010-2021; framemateriaal daar: carbon 53, aluminium 15. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Lapierre,https://www.bikezona.com/bicicletas/lapierre-sensium-100/9025,
"Lapierre.{0,20}\bXelius\b",Lapierre Xelius,,"Catalogus (reference_bike_catalog.csv): 58 uitvoeringen, modeljaren 2010-2021; framemateriaal daar: carbon 58. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Lapierre,https://www.bikezona.com/bicicletas/lapierre-velo-xelius-200/9022,
"Lapierre.{0,20}\bAudacio\b",Lapierre Audacio,,"Catalogus (reference_bike_catalog.csv): 48 uitvoeringen, modeljaren 2010-2018; framemateriaal daar: aluminium 47, carbon 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Lapierre,https://www.bikezona.com/bicicletas/lapierre-audacio-200/9031,
"Lapierre.{0,20}\bAircode\b",Lapierre Aircode,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 22 uitvoeringen, modeljaren 2015-2021; framemateriaal daar: carbon 22. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Lapierre,https://www.bikezona.com/bicicletas/lapierre-aircode-300/21656,
"Orbea.{0,20}\bOrca\b",Orbea Orca,,"Catalogus (reference_bike_catalog.csv): 205 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: carbon 169, onbekend 36. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Orbea,https://www.bikezona.com/bicicletas/orbea-orca-b105/11017,
"Orbea.{0,20}\bAvant\b",Orbea Avant,,"Endurance. Catalogus (reference_bike_catalog.csv): 112 uitvoeringen, modeljaren 2014-2022; framemateriaal daar: carbon 45, onbekend 37, aluminium 30. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Orbea,https://www.bikezona.com/bicicletas/orbea-avant-h10/15298,
\bTeam\s?machine\b,BMC Teammachine,,"ALR is aluminium, SLR/SLC carbon. Catalogus (reference_bike_catalog.csv): 76 uitvoeringen, modeljaren 2012-2019; framemateriaal daar: onbekend 38, carbon 34, aluminium 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,BMC,https://www.bikezona.com/bicicletas/bmc-teammachine-dura-ace/12297,
\bRoad\s?machine\b,BMC Roadmachine,,"Endurance. Catalogus (reference_bike_catalog.csv): 27 uitvoeringen, modeljaren 2017-2019; framemateriaal daar: onbekend 21, carbon 6. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,BMC,https://www.bikezona.com/bicicletas/bmc-roadmachine-01-dura-ace-di2/30089,
"Rose.{0,20}\bXeon\b",Rose Xeon,,"Aluminium en carbon (CDX/CRS/Team CGF) onder één naam. Catalogus (reference_bike_catalog.csv): 105 uitvoeringen, modeljaren 2012-2017; framemateriaal daar: carbon 54, aluminium 47, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Rose,https://www.bikezona.com/bicicletas/rose-xeon-x-lite-3100-di2-double/13761,
"Rose.{0,20}\bX-?Lite\b",Rose X-Lite,,"Catalogus (reference_bike_catalog.csv): 47 uitvoeringen, modeljaren 2012-2017; framemateriaal daar: carbon 42, onbekend 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Rose,https://www.bikezona.com/bicicletas/rose-xeon-x-lite-3100-di2-double/13761,
\bTriban\b,B'Twin Triban,,"Decathlon-huismerk. Catalogus (reference_bike_catalog.csv): 5 uitvoeringen, modeljaren 2014-2017; framemateriaal daar: aluminium 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Btwin,https://www.bikezona.com/bicicletas/btwin-velo-route-triban-300/18740,
"Fuji.{0,20}\bTransonic\b",Fuji Transonic,,"Catalogus (reference_bike_catalog.csv): 16 uitvoeringen, modeljaren 2015-2016; framemateriaal daar: carbon 16. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Fuji,https://www.bikezona.com/bicicletas/fuji-transonic-1-1/21020,
"Fuji.{0,20}\bRoubaix\b",Fuji Roubaix,,"Let op: niet de Specialized Roubaix. Catalogus (reference_bike_catalog.csv): 12 uitvoeringen, modeljaren 2012-2016; framemateriaal daar: aluminium 9, onbekend 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Fuji,https://www.bikezona.com/bicicletas/fuji-roubaix-1-0/13587,
"Stevens.{0,20}\bComet\b",Stevens Comet,,"Catalogus (reference_bike_catalog.csv): 8 uitvoeringen, modeljaren 2013-2018; framemateriaal daar: carbon 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Stevens,https://www.bikezona.com/bicicletas/stevens-comet-dura-ace-di2/14034,
"Koga.{0,20}\bKimera\b",Koga Kimera,,"Koga's racefietsserie (Kimera Road, Premium, Track); het Kimera Pro-frameset is volgens Koga van high-modulus carbon. Niet alle uitvoeringen zijn nagegaan, dus geen materiaal ingevuld. Geen nieuwprijs.",,0,bike,Koga,https://www.koga.com/nl/kimera-pro-frameset.htm,
"Koga[\s-]*M[iy]{1,2}a?ta",Koga-Miyata (merknaam tot 2010),,"Koga (Heerenveen, opgericht 1974) bouwde fietsen onder de naam Koga-Miyata, uit de samenwerking met het Japanse Miyata; vanaf mei 2010 heet het merk KOGA. ""Koga Miyata"" in een titel zegt dus alleen: van vóór 2010, meestal vintage. Model, materiaal en groep verschillen sterk — geen nieuwprijs.",,0,bike,Koga,https://en.wikipedia.org/wiki/KOGA,
"Champion\s*Mondial|Gazelle.{0,10}Champion",Gazelle Champion Mondial,,"Vintage racefiets, genoemd naar de wereldtitel van Harm Ottenbros (1969). Uitvoeringen A-, AA- en AB-frame; het A-frame (1969-1991) is gebouwd met Reynolds 531-buizen. Materiaal niet ingevuld: niet voor elke uitvoering nagegaan. Geen nieuwprijs.",,0,bike,Gazelle,https://www.vintagefiets.be/en/fietsframe-in-de-kijker-gazelle-champion-mondial-a-frame/,
